SOURCE	Cell_Line	Drug	Efficacy
CCLE	CCL_70	Drug_11	0.7692
CCLE	CCL_70	Drug_1	0.7777
CCLE	CCL_70	Drug_10	0.7852
CCLE	CCL_70	Drug_17	0.7707
CCLE	CCL_70	Drug_12	0.8391
CCLE	CCL_70	Drug_13	0.6042
CCLE	CCL_70	Drug_14	0.6499
CCLE	CCL_70	Drug_15	0.6583
CCLE	CCL_70	Drug_16	0.7842
CCLE	CCL_70	Drug_18	0.6313
CCLE	CCL_95	Drug_11	0.7398
CCLE	CCL_95	Drug_1	0.6502
CCLE	CCL_95	Drug_10	0.858
CCLE	CCL_95	Drug_17	0.2764
CCLE	CCL_95	Drug_12	0.8071
CCLE	CCL_95	Drug_13	0.6821
CCLE	CCL_95	Drug_14	0.6786
CCLE	CCL_95	Drug_15	0.7321
CCLE	CCL_95	Drug_16	0.8028
CCLE	CCL_95	Drug_18	0.6351
CCLE	CCL_121	Drug_11	0.8334
CCLE	CCL_121	Drug_1	0.8718
CCLE	CCL_121	Drug_10	0.9401
CCLE	CCL_121	Drug_17	0.8023
CCLE	CCL_121	Drug_12	0.9311
CCLE	CCL_121	Drug_13	0.8817
CCLE	CCL_121	Drug_14	0.8268
CCLE	CCL_121	Drug_15	0.9408
CCLE	CCL_121	Drug_16	0.9135
CCLE	CCL_121	Drug_18	0.462
CCLE	CCL_123	Drug_11	0.7844
CCLE	CCL_123	Drug_1	0.7929999999999999
CCLE	CCL_123	Drug_10	0.928
CCLE	CCL_123	Drug_17	0.823
CCLE	CCL_123	Drug_12	0.8238
CCLE	CCL_123	Drug_13	0.6977
CCLE	CCL_123	Drug_14	0.7841
CCLE	CCL_123	Drug_15	0.7845
CCLE	CCL_123	Drug_16	0.8742
CCLE	CCL_123	Drug_18	0.4789
CCLE	CCL_144	Drug_11	0.9376
CCLE	CCL_144	Drug_1	0.9154
CCLE	CCL_144	Drug_10	0.7768
CCLE	CCL_144	Drug_17	0.9367
CCLE	CCL_144	Drug_12	0.9816
CCLE	CCL_144	Drug_13	0.7535
CCLE	CCL_144	Drug_14	0.8008
CCLE	CCL_144	Drug_15	0.8737
CCLE	CCL_144	Drug_16	0.8994
CCLE	CCL_144	Drug_18	0.6122
CCLE	CCL_175	Drug_11	0.77
CCLE	CCL_175	Drug_1	0.9379
CCLE	CCL_175	Drug_10	0.7194
CCLE	CCL_175	Drug_12	0.7545
CCLE	CCL_175	Drug_14	0.8187
CCLE	CCL_175	Drug_15	0.7844
CCLE	CCL_175	Drug_16	0.7974
CCLE	CCL_175	Drug_18	0.6859999999999999
CCLE	CCL_202	Drug_11	0.9255
CCLE	CCL_202	Drug_1	0.7536
CCLE	CCL_202	Drug_10	0.871
CCLE	CCL_202	Drug_17	0.8303
CCLE	CCL_202	Drug_12	0.9551
CCLE	CCL_202	Drug_13	0.8029
CCLE	CCL_202	Drug_14	0.8511
CCLE	CCL_202	Drug_15	0.8371
CCLE	CCL_202	Drug_16	0.8502
CCLE	CCL_202	Drug_18	0.7068
CCLE	CCL_224	Drug_11	0.8052
CCLE	CCL_224	Drug_1	0.8125
CCLE	CCL_224	Drug_10	0.8549
CCLE	CCL_224	Drug_17	0.85
CCLE	CCL_224	Drug_12	0.8253
CCLE	CCL_224	Drug_13	0.677
CCLE	CCL_224	Drug_14	0.7033
CCLE	CCL_224	Drug_15	0.8214
CCLE	CCL_224	Drug_16	0.907
CCLE	CCL_224	Drug_18	0.6883
CCLE	CCL_225	Drug_11	0.9079
CCLE	CCL_225	Drug_10	0.9134
CCLE	CCL_225	Drug_17	0.9034
CCLE	CCL_225	Drug_13	0.7040000000000001
CCLE	CCL_225	Drug_14	0.8847
CCLE	CCL_225	Drug_15	0.8205
CCLE	CCL_225	Drug_16	0.8121
CCLE	CCL_225	Drug_18	0.6226
CCLE	CCL_237	Drug_11	0.5927
CCLE	CCL_237	Drug_1	0.7909999999999999
CCLE	CCL_237	Drug_10	0.6362
